name,status,species,type,gender
Rick Sanchez,Alive,Human,,Male
Morty Smith,Alive,Human,,Male
Summer Smith,Alive,Human,,Female
Beth Smith,Alive,Human,,Female
Jerry Smith,Alive,Human,,Male
Abadango Cluster Princess,Alive,Alien,,Female
Abradolf Lincler,unknown,Human,Genetic experiment,Male
Adjudicator Rick,Dead,Human,,Male
Agency Director,Dead,Human,,Male
Alan Rails,Dead,Human,Superhuman (Ghost trains summoner),Male
Albert Einstein,Dead,Human,,Male
Alexander,Dead,Human,,Male
Alien Googah,unknown,Alien,,unknown
Alien Morty,unknown,Alien,,Male
Alien Rick,unknown,Alien,,Male
Amish Cyborg,Dead,Alien,Parasite,Male
Annie,Alive,Human,,Female
Antenna Morty,Alive,Human,Human with antennae,Male
Antenna Rick,unknown,Human,Human with antennae,Male
Ants in my Eyes Johnson,unknown,Human,Human with ants in his eyes,Male
Aqua Morty,unknown,Humanoid,Fish-Person,Male
Aqua Rick,unknown,Humanoid,Fish-Person,Male
Arcade Alien,unknown,Alien,,Male
Armagheadon,Alive,Alien,Cromulon,Male
Armothy,Dead,unknown,Self-aware arm,Male
Arthricia,Alive,Alien,Cat-Person,Female
Artist Morty,Alive,Human,,Male
Attila Starwar,Alive,Human,,Male
Baby Legs,Alive,Human,Human with baby legs,Male
Baby Poopybutthole,Alive,Poopybutthole,,Male
Baby Wizard,Dead,Alien,Parasite,Male
Bearded Lady,Dead,Alien,Parasite,Female
Beebo,Dead,Alien,,Male
Benjamin,Alive,Poopybutthole,,Male
Bepisian,Alive,Alien,Bepisian,unknown
Beta-Seven,Alive,Alien,Hivemind,unknown
Beth Sanchez,Alive,Human,,Female
Beth Smith,Alive,Human,,Female
Beth Smith,Alive,Human,,Female
Beth's Mytholog,Dead,Mythological Creature,Mytholog,Female
Big Boobed Waitress,Alive,Mythological Creature,,Female
Big Head Morty,unknown,Human,Human with giant head,Male
Big Morty,Dead,Human,,Male
Body Guard Morty,Dead,Human,,Male
Bill,Alive,Human,,Male
Bill,unknown,Animal,Dog,Male
Birdperson,Alive,Alien,Bird-Person,Male
Black Rick,Alive,Human,,Male
Blamph,Alive,Alien,,unknown
Blim Blam,Alive,Alien,Korblock,Male
Blue Diplomat,Alive,Alien,,Male
Blue Footprint Guy,Dead,Human,,Male
Blue Shirt Morty,unknown,Human,,Male
Bobby Moynihan,Alive,Human,,Male
Boobloosian,Dead,Alien,Boobloosian,unknown
Bootleg Portal Chemist Rick,Dead,Human,,Male
Borpocian,Alive,Alien,Elephant-Person,Male
Brad,Alive,Human,,Male
Brad Anderson,Dead,Human,,Male
Calypso,Dead,Human,Superhuman,Female
Campaign Manager Morty,Dead,Human,,Male
Canklanker Thom,Dead,Alien,Gromflomite,Male
Centaur,Alive,Mythological Creature,Centaur,Male
Chris,Dead,Alien,Organic gun,unknown
Chris,Alive,Humanoid,Microverse inhabitant,Male
Coach Feratu (Balik Alistane),Dead,Mythological Creature,Vampire,Male
Collector,Alive,Alien,Light bulb-Alien,Male
Colossus,Dead,Human,,Male
Commander Rick,Dead,Human,,Male
Concerto,Dead,Humanoid,,Male
Conroy,Dead,Robot,,unknown
Cool Rick,Alive,Human,,Male
Cop Morty,Dead,Human,,Male
Cop Rick,Alive,Human,,Male
Courier Flap,Alive,Alien,,unknown
Cousin Nicky,Dead,Alien,Parasite,Male
Cowboy Morty,Alive,Human,,Male
Cowboy Rick,Alive,Human,,Male
Crab Spider,Alive,Alien,Animal,unknown
Creepy Little Girl,Alive,Human,,Female
Crocubot,Dead,Animal,Robot-Crocodile hybrid,Male
Cronenberg Rick,unknown,Cronenberg,,Male
Cronenberg Morty,unknown,Cronenberg,,Male
Cult Leader Morty,Alive,Human,,Male
Cyclops Morty,Alive,Humanoid,,Male
Cyclops Rick,Dead,Humanoid,,Male
Cynthia,Dead,Alien,Zigerion,Female
Cynthia,Alive,Human,,Female
Dale,Dead,Mythological Creature,Giant,Male
Daron Jefferson,Alive,Alien,Cone-nippled alien,Male
David Letterman,Alive,Human,,Male
Davin,Dead,Human,,Male
Diablo Verde,Dead,Mythological Creature,Demon,Male
Diane Sanchez,Dead,Human,,Female
Dipper and Mabel Mortys,unknown,Human,,unknown
Tuberculosis,Dead,Disease,,unknown
Gonorrhea,Dead,Disease,,unknown
Hepatitis A,Dead,Disease,,unknown
Hepatitis C,Dead,Disease,,unknown
Bubonic Plague,Dead,Disease,,unknown
E. Coli,Dead,Disease,,unknown
Donna Gueterman,Dead,Robot,,Female
Doofus Rick,unknown,Human,,Male
Doom-Nomitron,Dead,Alien,Shapeshifter,unknown
Dr. Glip-Glop,Dead,Alien,,Male
Dr. Schmidt,unknown,Human,Game,Male
Dr. Wong,Alive,Human,,Female
Dr. Xenon Bloom,Dead,Humanoid,Amoeba-Person,Male
Duck With Muscles,Dead,Alien,Parasite,Male
Eli,Alive,Human,,Male
Eli's Girlfriend,Alive,Human,,Female
Eric McMan,Alive,Human,,Male
Eric Stoltz Mask Morty,unknown,Human,,Male
Ethan,unknown,Human,Cronenberg,Male
Ethan,Alive,Human,,Male
Evil Beth Clone,Dead,Human,Clone,Female
Evil Jerry Clone,Dead,Human,Clone,Male
Evil Morty,Alive,Human,,Male
Evil Rick,Dead,Humanoid,Robot,Male
Evil Summer Clone,Dead,Human,Clone,Female
Eyehole Man,Alive,Alien,,Male
Fart,Dead,Alien,Interdimensional gaseous being,Male
Fat Morty,Alive,Human,,Male
Father Bob,Alive,Human,,Male
Flansian,Alive,Alien,Flansian,unknown
Fleeb,unknown,Alien,,unknown
Frank Palicky,Dead,Human,,Male
Frankenstein's Monster,Dead,Alien,Parasite,Male
Fulgora,Alive,Human,,Female
Galactic Federation President,Dead,Alien,Gromflomite,Male
Gar Gloonch,Dead,Alien,Zombodian,Male
Gar's Mytholog,Dead,Mythological Creature,Mytholog,Male
Garblovian,Alive,Alien,Garblovian,Male
Garmanarnar,Alive,Alien,,Male
Garment District Rick,Dead,Human,,Male
Gazorpazorpfield,Alive,Alien,Gazorpian,Male
Gene,Alive,Human,,Male
General Nathan,Dead,Human,,Male
General Store Owner,Dead,Alien,Cat-Person,Male
Genital Washer,Alive,Human,,Male
Ghost in a Jar,Dead,Alien,Parasite,Genderless
Gibble Snake,Dead,Alien,Animal,unknown
Glasses Morty,Alive,Human,,Male
Glenn,Dead,Alien,Gromflomite,Male
Glenn,Alive,Human,Eat shiter-Person,Male
Glexo Slim Slom,Alive,Alien,,Male
Gobo,Dead,Alien,,Male
Goddess Beth,unknown,Mythological Creature,Goddess,Female
Gordon Lunas,Dead,Human,,Male
Cornvelious Daniel,Dead,Alien,Gromflomite,Male
Gwendolyn,unknown,Robot,Gazorpian reproduction robot,Female
Hammerhead Morty,unknown,Humanoid,Hammerhead-Person,Male
Hamster In Butt,Alive,Animal,,unknown
Hamurai,Dead,Alien,Parasite,Male
Harold,Alive,Cronenberg,,Male
Hemorrhage,Alive,Human,,Male
Hole in the Wall Where the Men Can See it All,unknown,unknown,Hole,Genderless
Hookah Alien,Alive,Alien,Tuskfish,unknown
Hunter,Dead,Human,Clone,Male
Hunter's Father,Alive,Human,,Male
Hydrogen-F,Alive,Alien,Alphabetrian,Female
Ice-T,Alive,Alien,Alphabetrian,Male
Ideal Jerry,Dead,Mythological Creature,Mytholog,Male
Insurance Rick,unknown,Human,,Male
Investigator Rick,Dead,Human,,Male
Invisi-trooper,Alive,Human,,Male
Izzy,Alive,Animal,Cat,unknown
Jackie,Alive,Alien,Gazorpian,Female
Jacob,Alive,Human,,Male
Jacqueline,Alive,Human,,Female
Jaguar,Alive,Human,,Male
Jamey,Alive,Human,,Male
Jan-Michael Vincent,Alive,Human,,Male
Jerry 5-126,Alive,Human,,Male
Jerry Smith,Alive,Human,,Male
Celebrity Jerry,Alive,Human,,Male
Jerry Smith,Alive,Human,,Male
Jerry's Mytholog,Dead,Mythological Creature,Mytholog,Male
Jessica,Alive,Cronenberg,,Female
Jessica,Alive,Human,Time God,Female
Jessica's Friend,Alive,Human,,Female
Jim,Alive,Human,,Male
Johnny Depp,Alive,Human,,Male
Jon,Alive,Alien,Gazorpian,Male
Joseph Eli Lipkip,Alive,Human,,Male
Joyce Smith,Alive,Human,,Female
Juggling Rick,unknown,Human,,Male
Karen Entity,Alive,Alien,Unknown-nippled alien,Female
Katarina,Dead,Human,,Female
Keara,Alive,Alien,Krootabulan,Female
Kevin,Dead,Alien,Zigerion,Male
King Flippy Nips,Alive,Alien,Plutonian,Male
King Jellybean,Dead,Mythological Creature,Jellybean,Male
Kozbian,Alive,Alien,Tentacle alien,unknown
Kristen Stewart,Alive,Human,,Female
Krombopulos Michael,Dead,Alien,Gromflomite,Male
Kyle,Dead,Humanoid,Miniverse inhabitant,Male
Lady Katana,Dead,Humanoid,Cyborg,Female
Larva Alien,Alive,Alien,Larva alien,unknown
Lawyer Morty,unknown,Human,,Male
Leonard Smith,Alive,Human,,Male
Lighthouse Keeper,Dead,Alien,Cat-Person,Male
Lil B,Dead,Alien,Snail alien,Male
Lisa,Dead,Alien,,Female
Little Dipper,Alive,Humanoid,Tinymouth,Male
Lizard Morty,Alive,Humanoid,Lizard-Person,Male
Loggins,Alive,Alien,Alligator-Person,Male
Logic,Alive,Human,,Male
Long Sleeved Morty,unknown,Human,,Male
Lucy,Dead,Human,,Female
Ma-Sha,Alive,Alien,Gazorpian,Female
Magma-Q,Dead,Alien,Alphabetrian,Male
Magnesium-J,Alive,Alien,Alphabetrian,Male
Man Painted Silver Who Makes Robot Noises,Alive,Human,,Male
Maximums Rickimus,Dead,Human,,Male
MC Haps,Alive,Human,,Male
Mechanical Morty,Dead,Robot,,Male
Mechanical Rick,unknown,Robot,,Male
Mechanical Summer,unknown,Robot,,Female
Mega Fruit Farmer Rick,Alive,Human,,Male
Melissa,Alive,Mythological Creature,Monster,Female
Michael Denny and the Denny Singers,Alive,Human,,Male
Michael Jenkins,Dead,Human,,Male
Michael McLick,Alive,Human,,Male
